ps seed,performance mean,ci lower,ci upper,performance_mean_sum
61.0,6228.541115759999,5474.236524141857,6982.845707378141,1177356.0031326
28.0,4688.28919171,3430.713702239521,5945.864681180478,946629.4025933
9999999.0,5128.726253445,3840.7635206324762,6416.688986257524,864098.326419
0.0,4689.701127819999,3437.113946865785,5942.288308774213,841581.8120691
25.0,3337.35292281,1652.0234856778832,5022.682359942117,795481.017795
75.0,4819.0381754499995,2611.1252504023396,7026.951100497659,779004.4719311
46.0,2880.3376016800007,1389.874871960739,4370.800331399262,732381.6312807
18.0,3114.912364215,1362.9136838528627,4866.911044577137,681299.0367386
73.0,3646.571682245,1978.810966933641,5314.332397556359,657740.147246
30.0,3550.8980317750006,1340.6964067427411,5761.0996568072605,644790.4448601
37.0,1348.3342982899999,-383.22128968344896,3079.8898862634487,604100.9270936002
39.0,2948.6736315649996,1609.0629659361407,4288.284297193859,596521.0322901
2.0,4892.564407445,3628.34571041239,6156.78310447761,566543.6935601
98.0,3325.8061154100005,2362.171151662413,4289.441079157588,555009.9755079
40.0,3342.916867195,2131.4185084062237,4554.4152259837765,471116.9336033001
14.0,2458.8722053899996,1150.7986274675582,3766.945783312441,466542.1537896
53.0,1722.7518078500002,-320.2596516656199,3765.7632673656203,429152.9975004
44.0,1940.3547308449997,746.1351157405932,3134.574345949406,407334.7695599
23.0,2128.44709624,1371.3552652878316,2885.5389271921686,361374.6093969
36.0,1527.700801325,-339.6029665475676,3395.0045691975674,352508.8470051
63.0,2060.38903301,1340.4031012320536,2780.374964787946,344697.4767364
35.0,2264.95971183,1500.7012707531812,3029.2181529068184,332284.6681372
79.0,1778.6249686200001,1208.8838173548297,2348.3661198851705,302976.24285329995
81.0,2010.6546100450003,1363.523715725612,2657.7855043643885,284005.74774809997
82.0,1079.433839645,834.8178861900188,1324.0497930999811,241179.3233466
67.0,701.40495937,554.5733255101087,848.2365932298914,230346.99822279997
1.0,1156.2541415399999,826.9234450655765,1485.5848380144232,221245.16805679997
26.0,1097.6742420000003,820.5580209392599,1374.7904630607406,218329.9876344
22.0,1061.7339178900002,878.3261536152677,1245.1416821647326,216286.91018929996
20.0,975.5236121549999,136.04073990835934,1815.0064844016406,215032.5273658
38.0,1201.8049189150001,859.4409107408295,1544.1689270891707,214794.15223789998
41.0,1159.7909539600003,980.8422828529249,1338.7396250670756,213608.6426467
12.0,987.9302930350001,843.9405768209485,1131.9200092490516,202183.6824627
66.0,1097.0791733700003,947.2687571522483,1246.8895895877522,199154.7784217
58.0,1131.5965443,773.176866541756,1490.016222058244,196677.68099969998
7.0,970.3807385800001,851.2060420616941,1089.5554350983061,194270.71713260002
78.0,936.3810337150001,878.7131429592363,994.0489244707638,190025.78084219998
48.0,934.5661039549999,879.6738673582289,989.4583405517709,188077.95592089999
19.0,926.373203995,874.582653348146,978.1637546418541,186961.6366176
51.0,640.67912089,367.03610826254766,914.3221335174524,186450.39151450002
5.0,898.2978926450002,813.6006087384825,982.9951765515178,186340.6467657
43.0,935.90327039,891.102127660146,980.7044131198539,186339.3274736
9.0,938.1096014750001,793.2786462908891,1082.940556659111,185782.7681219
34.0,918.1318482149998,861.3683429379063,974.8953534920932,185658.43662310002
69.0,895.4742835249997,784.2534546730511,1006.6951123769483,183746.2554377
21.0,940.2371926249998,871.3849868581315,1009.0893983918681,183151.4474424
